"Inicio del informe","Fin del informe","Nombre del conjunto de anuncios","Entrega del conjunto de anuncios","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,Inicio,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"SIMILAR TIBIO 60D",not_delivering,9375,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR CALIENTE 60D",not_delivering,9375,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"SIMILAR TRIFASICO 60D",not_delivering,9375,Diario,0,0,0,0,,0,,,,,"En curso",2025-03-03,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,ADVANTAGE,not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"PROMT DIRECTO",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,2026-01-09T16:06:13-0500,0,,0,
2025-11-01,2026-03-20,"PROMT INDIRECTO",not_delivering,5000,Diario,0,0,0,0,,0,,,,,"En curso",2025-05-07,-,0,ABSOLUTE_OCPM,0,0,,0,
2025-11-01,2026-03-20,"IG JUAN - ADVTG - PROMPT DIRECTO",active,"Con el presupuesto de la campaña",0,312832,165560,131941,1869,326,0.24708,959.607362,40064,video_thruplay_watched_actions,7.80830671,"En curso",2025-11-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-23T17:49:08-0500,1889.538536,,1.254803,
2025-11-01,2026-03-20,"IG JUAN - ADVTG - ABIERTO",active,"Con el presupuesto de la campaña",0,285746,172183,141316,3613,725,0.504543,394.132414,45082,video_thruplay_watched_actions,6.33836121,"En curso",2025-11-20,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T03:26:39-0500,1659.548271,,1.218425,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - PROMPT DIRECTO",not_delivering,54687,Diario,108546,9993,7413,235,137,1.780656,792.306569,50,actions:offsite_conversion.fb_pixel_complete_registration,2170.92,"En curso",2026-02-02,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-02-02T11:12:12-0500,10862.203542,,1.348037,
2025-11-01,2026-03-20,"GRUPO EFFI - ADVTG - ABIERTO - MEDELLIN",not_delivering,54687,Diario,116381,10883,7736,255,163,1.990693,713.993865,71,actions:offsite_conversion.fb_pixel_complete_registration,1639.16901408,"En curso",2026-02-02,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-02-02T10:11:09-0500,10693.834421,,1.406799,
