"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"IMG 8 DECISIONES INTELIGENTES",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 4 AUTOMATIZACIÓN",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 9 CONTROLA COMPRAS",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 1 FACTURACIÓN ELECTRÓNICA",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 5 CRM EFFI",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 6 MANEJO POS",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 7 GESTIÓN CONTABLE",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 2 GESTIÓN NÓMINA",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"IMG 3 CONTROLA INVENTARIO",not_delivering,"Con el presupuesto de la campaña",0,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-21T00:22:25-0500,-,-,-,"ADVTG - DIRECTO",0,,0,
2025-11-01,2026-03-20,"VID 1",not_delivering,40000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-20T19:20:09-0500,-,-,-,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",0,,0,
